% Model,3D-1.2.mph,,
% Version,COMSOL 6.3.0.420,,
% Date,10/4/2025 0:00,,
% Dimension,3,,
% Nodes,68921,,
% Expressions,1,,
% Description,Electric potential,,
% Length unit,µm,,
% x,y,z,V (V) @ 1: Vrf1=1 V; Vrf2=1 V; Vdc1=0 V; Vdc2=0 V; Vdc3=0 V
-3.5,-7,-10,0.36624329800124206
-3,-7,-10,0.3661347852420591
-2.5,-7,-10,0.36605146460097343
-2,-7,-10,0.3659933360779852
-1.5,-7,-10,0.36596039967309385
-1,-7,-10,0.36595265538629995
-0.5,-7,-10,0.3659701032176032
0,-7,-10,0.36601274316700333
0.5,-7,-10,0.3660805752345011
1,-7,-10,0.36617359942009586
1.5,-7,-10,0.36629181572378794
2,-7,-10,0.3664552552540571
2.5,-7,-10,0.3666707928055947
3,-7,-10,0.3668245431182239
3.5,-7,-10,0.3669963038116631
4,-7,-10,0.3671792150574649
4.5,-7,-10,0.36737327685562915
5,-7,-10,0.3675784892061557
5.5,-7,-10,0.3677948521090447
6,-7,-10,0.36802236556429596
6.5,-7,-10,0.3682610295719098
7,-7,-10,0.3685108441318861
7.499999999999999,-7,-10,0.3687718092442247
8,-7,-10,0.36904392490892574
8.5,-7,-10,0.369327191125989
9,-7,-10,0.3696216078954149
9.499999999999998,-7,-10,0.3699271752172032
10,-7,-10,0.3702438930913537
-10,-6.5,-10,0.37030551170589593
-9.5,-6.5,-10,0.36988583005460496
-9,-6.5,-10,0.3694776703769802
-8.5,-6.5,-10,0.3690810326730214
-8,-6.5,-10,0.36869591694272824
-7.5,-6.5,-10,0.36832232318610136
-7,-6.5,-10,0.36796025140314037
-6.5,-6.5,-10,0.3676097015938455
-6,-6.5,-10,0.3672936502541876
-5.5,-6.5,-10,0.36706679857664976
-5,-6.5,-10,0.3668651390172095
-4.5,-6.5,-10,0.3666886715758662
-4,-6.5,-10,0.3665373962526201
-3.5,-6.5,-10,0.3664113130474711
-3,-6.5,-10,0.3663104219604197
-2.5,-6.5,-10,0.3662347229914652
-2,-6.5,-10,0.366184216140608
-1.5,-6.5,-10,0.36615890140784796
-1,-6.5,-10,0.36615877879318515
-0.5,-6.5,-10,0.36618384829661943
0,-6.5,-10,0.36623410991815136
0.5,-6.5,-10,0.36630956365778006
1,-6.5,-10,0.36641020951550596
1.5,-6.5,-10,0.36653604749132934
2,-6.5,-10,0.36666610493988183
2.5,-6.5,-10,0.36680748442759403
3,-6.5,-10,0.3669705415798298
3.5,-6.5,-10,0.36714203270687495
4,-6.5,-10,0.3673207649803185
4.5,-6.5,-10,0.3675106478061242
5,-6.5,-10,0.3677116811842925
5.5,-6.5,-10,0.3679238651148232
6,-6.5,-10,0.36814719959771613
6.5,-6.5,-10,0.36838168463297155
7,-6.5,-10,0.36862732022058947
7.499999999999999,-6.5,-10,0.3688841063605697
8,-6.5,-10,0.36915204305291227
8.5,-6.5,-10,0.3694311302976173
9,-6.5,-10,0.3697213680946848
9.499999999999998,-6.5,-10,0.3700227564441145
10,-6.5,-10,0.3703352953459069
-10,-6,-10,0.3703482527197743
-9.5,-6,-10,0.3699423620563192
-9,-6,-10,0.3695479933665302
-8.5,-6,-10,0.36916514665040734
-8,-6,-10,0.3687938219079501
-7.5,-6,-10,0.36843401913915885
-7,-6,-10,0.36808573834403374
-6.5,-6,-10,0.3677489795225746
-6,-6,-10,0.367423742674781
-5.5,-6,-10,0.3671825388398771
-5,-6,-10,0.3669885009525679
-4.5,-6,-10,0.36681965518335585
-4,-6,-10,0.36667600153224095
-3.5,-6,-10,0.36655753999922336
-3,-6,-10,0.366464270584303
-2.5,-6,-10,0.36639619328747997
-2,-6,-10,0.366353308108754
-1.5,-6,-10,0.36633561504812495
-1,-6,-10,0.36634311410559345
-0.5,-6,-10,0.3663758052811591
0,-6,-10,0.3664234957320797
0.5,-6,-10,0.36647655755339853
1,-6,-10,0.36655173155405607
1.5,-6,-10,0.3666490177340522
2,-6,-10,0.36676841609338695
2.5,-6,-10,0.3669155539843406
3,-6,-10,0.3670753537986822
3.5,-6,-10,0.3672453534961904
4,-6,-10,0.36742555307686475
4.5,-6,-10,0.3676159525407055
5,-6,-10,0.3678165518877128
5.5,-6,-10,0.3680273511178863
6,-6,-10,0.3682468077767012
6.5,-6,-10,0.36847711383959825
7,-6,-10,0.3687185704548576
7.499999999999999,-6,-10,0.3689711776224795
8,-6,-10,0.36923493534246393
8.5,-6,-10,0.3695098436148104
9,-6,-10,0.36979590243951943
9.499999999999998,-6,-10,0.370093111816591
10,-6,-10,0.3704014717460249
-10,-5.5,-10,0.37036644804405633
-9.5,-5.5,-10,0.36997434836843696
-9,-5.5,-10,0.36959377066648375
-8.5,-5.5,-10,0.3692247149381964
-8,-5.5,-10,0.3688671811835751
-7.5,-5.5,-10,0.36852116940261964
-7,-5.5,-10,0.3681866795953303
-6.5,-5.5,-10,0.36786371176170674
-6,-5.5,-10,0.36755226590174916
-5.5,-5.5,-10,0.36727649100862736
-5,-5.5,-10,0.3670900747934494
-4.5,-5.5,-10,0.3669288506963686
-4,-5.5,-10,0.3667928187173848
-3.5,-5.5,-10,0.3666819788564984
-3,-5.5,-10,0.36659633111370926
-2.5,-5.5,-10,0.36653587548901734
-2,-5.5,-10,0.3664977746152997
-1.5,-5.5,-10,0.3664656278375039
-1,-5.5,-10,0.36645559323904653
-0.5,-5.5,-10,0.3664676708199277
0,-5.5,-10,0.3665018605801477
0.5,-5.5,-10,0.36655816251970635
1,-5.5,-10,0.36663657663860366
1.5,-5.5,-10,0.3667371029368396
2,-5.5,-10,0.36686276558404934
2.5,-5.5,-10,0.36700910817733073
3,-5.5,-10,0.36716565065377815
3.5,-5.5,-10,0.36733239301339227
4,-5.5,-10,0.36750933525617274
4.5,-5.5,-10,0.36769647738211975
5,-5.5,-10,0.36789381939123267
5.5,-5.5,-10,0.36810136128351245
6,-5.5,-10,0.36831910305895826
6.5,-5.5,-10,0.36854704471757055
7,-5.5,-10,0.3687851862593492
7.499999999999999,-5.5,-10,0.36903352768429437
8,-5.5,-10,0.3692926017775801
8.5,-5.5,-10,0.3695633310775685
9,-5.5,-10,0.36984521092991907
9.499999999999998,-5.5,-10,0.37013824133463225
10,-5.5,-10,0.3704424222917077
-10,-5,-10,0.3703600976787414
-9.5,-5,-10,0.36998178899095796
-9,-5,-10,0.36961500227684074
-8.5,-5,-10,0.369259737536389
-8,-5,-10,0.3689159947696036
-7.5,-5,-10,0.368583773976484
-7,-5,-10,0.3682630751570302
-6.5,-5,-10,0.36795389831124253
-6,-5,-10,0.36765624343912107
-5.5,-5,-10,0.3673701105406654
-5,-5,-10,0.36716986053985384
-4.5,-5,-10,0.3670162581149041
-4,-5,-10,0.3668878478080519
-3.5,-5,-10,0.3667715862126311
-3,-5,-10,0.36667634301505925
-2.5,-5,-10,0.36660321199682544
-2,-5,-10,0.3665521931579307
-1.5,-5,-10,0.3665232864983745
-1,-5,-10,0.366516492018157
-0.5,-5,-10,0.36653180971727806
0,-5,-10,0.3665692395957379
0.5,-5,-10,0.36662878165353646
1,-5,-10,0.3667104358906733
1.5,-5,-10,0.3668142023071492
2,-5,-10,0.36694506175117686
2.5,-5,-10,0.3670881470065641
3,-5,-10,0.36724143214511806
3.5,-5,-10,0.3674049171668379
4,-5,-10,0.36757860207172427
4.5,-5,-10,0.36776248685977725
5,-5,-10,0.36795657153099637
5.5,-5,-10,0.368160856085382
6,-5,-10,0.36837534052293397
6.5,-5,-10,0.36860002484365206
7,-5,-10,0.36883490904753685
7.499999999999999,-5,-10,0.3690799931345879
8,-5,-10,0.36933527710480546
8.5,-5,-10,0.3696007609581892
9,-5,-10,0.3698764446947394
9.499999999999998,-5,-10,0.37016232831445584
10,-5,-10,0.3704584118173389
-10,-4.5,-10,0.37032920162383004
-9.5,-4.5,-10,0.3699646839238824
-9,-4.5,-10,0.3696116881976007
-8.5,-4.5,-10,0.3692702144449849
-8,-4.5,-10,0.36894026266603513
-7.5,-4.5,-10,0.36862183286075134
-7,-4.5,-10,0.36831492502913354
-6.5,-4.5,-10,0.36801659986513646
-6,-4.5,-10,0.3677251595553864
-5.5,-4.5,-10,0.3674439900121288
-5,-4.5,-10,0.3672139808820939
-4.5,-4.5,-10,0.36705564126474555
-4,-4.5,-10,0.366919413826736
-3.5,-4.5,-10,0.36680529856806476
-3,-4.5,-10,0.36671329548873244
-2.5,-4.5,-10,0.36664340458873873
-2,-4.5,-10,0.3665956258680838
-1.5,-4.5,-10,0.3665699593267673
-1,-4.5,-10,0.36656640496478954
-0.5,-4.5,-10,0.3665849627821506
0,-4.5,-10,0.36662563277885013
0.5,-4.5,-10,0.3666884149548885
1,-4.5,-10,0.36677330931026536
1.5,-4.5,-10,0.3668832145202213
2,-4.5,-10,0.3670128425545482
2.5,-4.5,-10,0.3671526704720415
3,-4.5,-10,0.367302698272701
3.5,-4.5,-10,0.3674629259565272
4,-4.5,-10,0.36763335352351956
4.5,-4.5,-10,0.3678139809736784
5,-4.5,-10,0.36800480830700366
5.5,-4.5,-10,0.36820583552349506
6,-4.5,-10,0.36841706262315305
6.5,-4.5,-10,0.3686384896059774
7,-4.5,-10,0.3688701164719679
7.499999999999999,-4.5,-10,0.369111943221125
8,-4.5,-10,0.36936396985344855
8.5,-4.5,-10,0.36962619636893834
9,-4.5,-10,0.3698986227675946
9.499999999999998,-4.5,-10,0.37018124904941707
10,-4.5,-10,0.37047407521440606
-10,-4,-10,0.37026994219743486
-9.5,-4,-10,0.3699154989991109
-9,-4,-10,0.36957132656727965
-8.5,-4,-10,0.369237424901941
-8,-4,-10,0.368913794003095
-7.5,-4,-10,0.36860043387074143
-7,-4,-10,0.36829734450488044
-6.5,-4,-10,0.3680045259055121
-6,-4,-10,0.3677219780726367
-5.5,-4,-10,0.36744970100625335
-5,-4,-10,0.3672269870503301
-4.5,-4,-10,0.36707188755122167
-4,-4,-10,0.36693890023145165
-3.5,-4,-10,0.36682802509102064
-3,-4,-10,0.3667392621299281
-2.5,-4,-10,0.3666726113481743
-2,-4,-10,0.3666280727457588
-1.5,-4,-10,0.36660564632268233
-1,-4,-10,0.3666053320789445
-0.5,-4,-10,0.3666271300145453
0,-4,-10,0.36667104012948465
0.5,-4,-10,0.36673706242376264
1,-4,-10,0.3668251968973795
1.5,-4,-10,0.36693973729773
2,-4,-10,0.367066107994163
2.5,-4,-10,0.36720267857376226
3,-4,-10,0.367349449036528
3.5,-4,-10,0.3675064193824598
4,-4,-10,0.3676735896115583
4.5,-4,-10,0.3678509597238231
5,-4,-10,0.3680385297192544
5.5,-4,-10,0.36823629959785187
6,-4,-10,0.3684442693596159
6.5,-4,-10,0.36866243900454615
7,-4,-10,0.3688908085326428
7.499999999999999,-4,-10,0.36912937794390577
8,-4,-10,0.3693781472383354
8.5,-4,-10,0.36963711641593117
9,-4,-10,0.36990628547669335
9.499999999999998,-4,-10,0.3701856544206218
10,-4,-10,0.3704752232477169
-10,-3.5,-10,0.37018475093602854
-9.5,-3.5,-10,0.36983920021457894
-9,-3.5,-10,0.36950392025962203
-8.5,-3.5,-10,0.36917891107115774
-8,-3.5,-10,0.36886417264918603
-7.5,-3.5,-10,0.36855970499370705
-7,-3.5,-10,0.3682655081047205
-6.5,-3.5,-10,0.3679815819822264
-6,-3.5,-10,0.36770792662622503
-5.5,-3.5,-10,0.36744454203671634
-5,-3.5,-10,0.36722900738608844
-4.5,-3.5,-10,0.3670771480052198
-4,-3.5,-10,0.36694740080368976
-3.5,-3.5,-10,0.3668397657814984
-3,-3.5,-10,0.3667542429386455
-2.5,-3.5,-10,0.3666908322751316
-2,-3.5,-10,0.36664953379095633
-1.5,-3.5,-10,0.36663034748611956
-1,-3.5,-10,0.3666332733606215
-0.5,-3.5,-10,0.36665831141446215
0,-3.5,-10,0.3667054616476413
0.5,-3.5,-10,0.3667747240601592
1,-3.5,-10,0.36686883123610997
1.5,-3.5,-10,0.36698174471148237
2,-3.5,-10,0.3671048580700213
2.5,-3.5,-10,0.3672381713117266
3,-3.5,-10,0.3673816844365983
3.5,-3.5,-10,0.36753539744463637
4,-3.5,-10,0.36769931033584063
4.5,-3.5,-10,0.36787342311021165
5,-3.5,-10,0.36805773576774864
5.5,-3.5,-10,0.3682522483084522
6,-3.5,-10,0.36845696073232215
6.5,-3.5,-10,0.36867187303935844
7,-3.5,-10,0.36889698522956105
7.499999999999999,-3.5,-10,0.3691322973029301
8,-3.5,-10,0.36937780925946573
8.5,-3.5,-10,0.36963352109916736
9,-3.5,-10,0.3698994328220357
9.499999999999998,-3.5,-10,0.37017554442807016
10,-3.5,-10,0.37046185591727115
-10,-3,-10,0.37008868971096065
-9.5,-3,-10,0.36975203146638547
-9,-3,-10,0.3694256439883029
-8.5,-3,-10,0.3691095272767131
-8,-3,-10,0.3688036813316155
-7.5,-3,-10,0.36850810615301083
-7,-3,-10,0.3682228017408988
-6.5,-3,-10,0.36794776809527907
-6,-3,-10,0.3676830052161522
-5.5,-3,-10,0.3674285131035179
-5,-3,-10,0.3672200418893691
-4.5,-3,-10,0.3670714226267402
-4,-3,-10,0.36694491554345016
-3.5,-3,-10,0.36684052063949857
-3,-3,-10,0.36675823791488543
-2.5,-3,-10,0.36669806736961114
-2,-3,-10,0.36666000900367574
-1.5,-3,-10,0.3666440628170788
-1,-3,-10,0.36665022880982057
-0.5,-3,-10,0.36667850698190085
0,-3,-10,0.36672889733332
0.5,-3,-10,0.3668013998640779
1,-3,-10,0.3668995806239999
1.5,-3,-10,0.36700923676147834
2,-3,-10,0.3671290927821233
2.5,-3,-10,0.36725914868593457
3,-3,-10,0.3673994044729122
3.5,-3,-10,0.36754986014305624
4,-3,-10,0.3677105156963667
